zip,city,county,SPCS83_Code
77845,College Station,Brazos,4203
77850,Concord,Leon,4203
77852,Deanville,Burleson,4203
77853,Dime Box,Lee,4203
77855,Flynn,Leon,4203
77856,Franklin,Robertson,4203
77857,Gause,Milam,4203
77859,Hearne,Robertson,4203
77861,Iola,Grimes,4203
77862,Kurten,Brazos,4203
77863,Lyons,Burleson,4203
77864,Madisonville,Madison,4203
77865,Marquez,Leon,4203
77866,Millican,Brazos,4203
77867,Mumford,Robertson,4203
77868,Navasota,Grimes,4203
77869,Navasota,Grimes,4203
77870,New Baden,Robertson,4203
77871,Normangee,Leon,4203
77872,North Zulch,Madison,4203
77873,Richards,Grimes,4203
77875,Roans Prairie,Grimes,4203
77876,Shiro,Grimes,4203
77878,Snook,Burleson,4203
77879,Somerville,Burleson,4203
77880,Washington,Washington,4203
77881,Wellborn,Brazos,4203
77882,Wheelock,Robertson,4203
77901,Victoria,Victoria,4204
77902,Victoria,Victoria,4204
77903,Victoria,Victoria,4204
77904,Victoria,Victoria,4204
77905,Victoria,Victoria,4204
77950,Austwell,Refugio,4204
77951,Bloomington,Victoria,4204
77954,Cuero,DeWitt,4204
77957,Edna,Jackson,4204
77960,Fannin,Goliad,4204
77961,Francitas,Jackson,4204
77962,Ganado,Jackson,4204
77963,Goliad,Goliad,4204
77964,Hallettsville,Lavaca,4204
77967,Hochheim,DeWitt,4204
77968,Inez,Victoria,4204
77969,La Salle,Jackson,4204
77970,La Ward,Jackson,4204
77971,Lolita,Jackson,4204
77973,Mcfaddin,Victoria,4204
77974,Meyersville,Victoria,4204
77975,Moulton,Lavaca,4204
77976,Nursery,Victoria,4204
77977,Placedo,Victoria,4204
77978,Point Comfort,Calhoun,4204
77979,Port Lavaca,Calhoun,4204
77982,Port O Connor,Calhoun,4204
77983,Seadrift,Calhoun,4204
77984,Shiner,Lavaca,4204
77986,Sublime,Lavaca,4204
77987,Sweet Home,Lavaca,4204
77988,Telferner,Victoria,4204
77989,Thomaston,DeWitt,4204
77990,Tivoli,Refugio,4204
77991,Vanderbilt,Jackson,4204
77993,Weesatche,Goliad,4204
77994,Westhoff,DeWitt,4204
77995,Yoakum,Lavaca,4204
78001,Artesia Wells,La Salle,4204
78002,Atascosa,Bexar,4204
78003,Bandera,Bandera,4204
78004,Bergheim,Kendall,4204
78005,Bigfoot,Frio,4204
78006,Boerne,Kendall,4204
78007,Calliham,McMullen,4204
78008,Campbellton,Atascosa,4204
78009,Castroville,Medina,4204
78010,Center Point,Kerr,4204
78011,Charlotte,Atascosa,4204
78012,Christine,Atascosa,4204
78013,Comfort,Kendall,4204
78014,Cotulla,La Salle,4204
78015,Boerne,Bexar,4204
78016,Devine,Medina,4204
78017,Dilley,Frio,4204
78019,Encinal,La Salle,4204
78021,Fowlerton,La Salle,4204
78022,George West,Live Oak,4204
78023,Helotes,Bexar,4204
78024,Hunt,Kerr,4204
78025,Ingram,Kerr,4204
78026,Jourdanton,Atascosa,4204
78027,Kendalia,Kendall,4204
78028,Kerrville,Kerr,4204
78029,Kerrville,Kerr,4204
78039,La Coste,Medina,4204
78040,Laredo,Webb,4205
78041,Laredo,Webb,4205
78042,Laredo,Webb,4205
78043,Laredo,Webb,4205
78044,Laredo,Webb,4205
78045,Laredo,Webb,4205
78046,Laredo,Webb,4205
78049,Laredo,Webb,4205
78050,Leming,Atascosa,4204
78052,Lytle,Atascosa,4204
78054,Macdona,Bexar,4204
78055,Medina,Bandera,4204
78056,Mico,Medina,4204
78057,Moore,Frio,4204
78058,Mountain Home,Kerr,4204
78059,Natalia,Medina,4204
78060,Oakville,Live Oak,4204
78061,Pearsall,Frio,4204
78062,Peggy,Atascosa,4204
78063,Pipe Creek,Bandera,4204
78064,Pleasanton,Atascosa,4204
78065,Poteet,Atascosa,4204
78066,Rio Medina,Medina,4204
